medfile	rat	session	sessioncode	date	diet	bottleA	bottleB	licksA	licksB	include	endcol
!2016-07-19_09h16m.Subject 1	cas9.1	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_10h27m.Subject 2	cas9.2	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_11h42m.Subject 3	cas9.3	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_09h16m.Subject 4	cas9.4	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_10h27m.Subject 5	cas9.5	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_11h42m.Subject 6	cas9.6	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_09h16m.Subject 7	cas9.7	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_10h28m.Subject 8	cas9.8	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_11h42m.Subject 9	cas9.9	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_09h16m.Subject 10	cas9.10	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_10h28m.Subject 11	cas9.11	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_11h42m.Subject 12	cas9.12	1	training1	160719	np	saccharin	saccharin			0	0
!2016-07-19_14h47m.Subject 13	cas9.13	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_15h50m.Subject 14	cas9.14	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_16h51m.Subject 15	cas9.15	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_14h47m.Subject 16	cas9.16	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_15h50m.Subject 17	cas9.17	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_16h51m.Subject 18	cas9.18	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_14h47m.Subject 19	cas9.19	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_15h50m.Subject 20	cas9.20	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_16h51m.Subject 21	cas9.21	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_14h47m.Subject 22	cas9.22	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_15h50m.Subject 23	cas9.23	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-19_16h51m.Subject 24	cas9.24	1	training1	160719	lp	saccharin	saccharin			0	0
!2016-07-20_07h15m.Subject 1	cas9.1	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_08h16m.Subject 2	cas9.2	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_12h17m.Subject 3	cas9.3	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_07h15m.Subject 4	cas9.4	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_08h16m.Subject 5	cas9.5	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_12h17m.Subject 6	cas9.6	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_07h16m.Subject 7	cas9.7	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_08h16m.Subject 8	cas9.8	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_12h17m.Subject 9	cas9.9	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_07h16m.Subject 10	cas9.10	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_08h16m.Subject 11	cas9.11	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_12h17m.Subject 12	cas9.12	2	training2	160720	np	saccharin	saccharin			0	0
!2016-07-20_13h28m.Subject 13	cas9.13	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_14h35m.Subject 14	cas9.14	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_15h38m.Subject 15	cas9.15	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_13h28m.Subject 16	cas9.16	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_14h35m.Subject 17	cas9.17	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_15h38m.Subject 18	cas9.18	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_13h28m.Subject 19	cas9.19	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_14h35m.Subject 20	cas9.20	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_15h38m.Subject 21	cas9.21	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_13h28m.Subject 22	cas9.22	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_14h35m.Subject 23	cas9.23	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-20_15h38m.Subject 24	cas9.24	2	training2	160720	lp	saccharin	saccharin			0	0
!2016-07-21_10h03m.Subject 1	cas9.1	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_11h11m.Subject 2	cas9.2	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_13h24m.Subject 3	cas9.3	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_10h03m.Subject 4	cas9.4	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_11h11m.Subject 5	cas9.5	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_13h24m.Subject 6	cas9.6	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_10h03m.Subject 7	cas9.7	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_11h11m.Subject 8	cas9.8	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_13h24m.Subject 9	cas9.9	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_10h03m.Subject 10	cas9.10	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_11h11m.Subject 11	cas9.11	3	training3	160721	np	saccharin	saccharin			0	0
!2016-07-21_13h24m.Subject 12	cas9.12	3	training3	160721	np	saccharin	saccharin			0	0
