,ratid,sol,diet,total,bMean,bNum
0,cas9.1,c,np,664,14.434782608695652,46
1,cas9.2,c,np,47,10.25,4
2,cas9.3,c,np,1356,20.238805970149254,67
3,cas9.4,c,np,1694,13.772357723577235,123
4,cas9.5,c,np,513,7.862745098039215,51
5,cas9.6,c,np,374,11.0,34
6,cas9.7,c,np,1414,14.144329896907216,97
7,cas9.8,c,np,604,15.487179487179487,39
8,cas9.9,c,np,5393,57.98924731182796,93
9,cas9.10,c,np,3712,36.75247524752475,101
10,cas9.11,c,np,1478,11.196969696969697,132
11,cas9.12,c,np,1579,15.79,100
12,cas9.13,c,lp,2909,30.621052631578948,95
13,cas9.14,c,lp,3900,54.929577464788736,71
14,cas9.15,c,lp,5906,29.623115577889447,199
15,cas9.16,c,lp,3695,42.47126436781609,87
16,cas9.17,c,lp,3257,98.8,30
17,cas9.18,c,lp,3650,53.6764705882353,68
18,cas9.19,c,lp,4375,60.763888888888886,72
19,cas9.20,c,lp,5211,130.1,40
20,cas9.21,c,lp,5062,41.83471074380165,121
21,cas9.22,c,lp,1366,6.180995475113122,221
22,cas9.23,c,lp,3553,17.416666666666668,204
23,cas9.24,c,lp,362,7.869565217391305,46
0,cas9.1,m,np,14,3.5,4
1,cas9.2,m,np,2618,81.8125,32
2,cas9.3,m,np,1321,28.0,47
3,cas9.4,m,np,1301,12.881188118811881,101
4,cas9.5,m,np,4027,26.66887417218543,151
5,cas9.6,m,np,4933,29.363095238095237,168
6,cas9.7,m,np,1051,10.20388349514563,103
7,cas9.8,m,np,2819,29.364583333333332,96
8,cas9.9,m,np,1335,24.72222222222222,54
9,cas9.10,m,np,1713,18.419354838709676,93
10,cas9.11,m,np,1354,22.949152542372882,59
11,cas9.12,m,np,239,9.56,25
12,cas9.13,m,lp,160,20.0,8
13,cas9.14,m,lp,176,9.263157894736842,19
14,cas9.15,m,lp,672,7.724137931034483,87
15,cas9.16,m,lp,1036,32.375,32
16,cas9.17,m,lp,133,7.0,19
17,cas9.18,m,lp,340,20.0,17
18,cas9.19,m,lp,199,9.95,20
19,cas9.20,m,lp,596,19.225806451612904,31
20,cas9.21,m,lp,373,16.217391304347824,23
21,cas9.22,m,lp,1918,24.90909090909091,77
22,cas9.23,m,lp,95,13.571428571428571,7
23,cas9.24,m,lp,2555,25.55,100
